symbol,count
H,1.1550883409456625
He,0.0
Li,3.856271360218728
Be,1.1
B,9.792283772018862
C,0.8736842105263158
N,6.896664457698255
O,63.138671030389474
F,3.6547619047619047
Ne,0.0
Na,7.986253784529647
Mg,4.154304029304028
Al,6.6985087719298235
Si,7.307604804970421
P,21.92266097940886
S,98.98044637373954
Cl,7.490490902702849
Ar,0.0
K,7.276987037465722
Ca,3.0595238095238093
Sc,1.7161904761904763
Ti,1.4625902992776059
V,2.9879382279227475
Cr,1.4166666666666665
Mn,3.3087108013937283
Fe,2.7321428571428568
Co,0.8833333333333333
Ni,1.4205128205128204
Cu,17.432479267391813
Zn,17.335799944736117
Ga,33.03637906983559
Ge,10.569900673403593
As,29.434789915966387
Se,104.61496220136303
Br,9.681944444444444
Kr,0.0
Rb,6.163182972707496
Sr,1.3703285992759677
Y,1.4743589743589745
Zr,1.3394135188866798
Nb,1.3428329343731495
Mo,0.5438502673796792
Tc,0.0
Ru,2.1333333333333333
Rh,0.250936329588015
Pd,1.1672771672771671
Ag,12.480654761904763
Cd,20.681447810904103
In,24.856347026758858
Sn,10.68264502164502
Sb,22.847887820525308
Te,54.34333653816327
I,18.785098819309347
Xe,0.0
Cs,7.8315448215137735
Ba,9.077464331068322
La,4.394859674353132
Ce,0.3968253968253968
Pr,1.8176470588235294
Nd,2.082726423902894
Pm,0.0
Sm,2.8508936271025824
Eu,3.30436318067897
Gd,2.532901027077498
Tb,0.7945833333333334
Dy,1.027777777777778
Ho,0.9703256302521008
Er,1.3836589635854342
Tm,0.5
Yb,1.4128384687208217
Lu,1.4518020050125313
Hf,0.3333333333333333
Ta,1.8656486903286973
W,0.3611111111111111
Re,1.0
Os,0.6666666666666666
Ir,1.6557188130221838
Pt,2.19023569023569
Au,0.6666666666666666
Hg,6.537126022126023
Tl,8.063889355742297
Pb,25.46729566271166
Bi,13.443694724998254
Po,0.0
At,0.0
Rn,0.0
Fr,0.0
Ra,0.0
Ac,0.0
Th,0.41666666666666663
Pa,0.0
U,0.6602564102564102
Np,0.0
Pu,0.0
Am,0.0
Cm,0.0
Bk,0.0
Cf,0.0
Es,0.0
Fm,0.0
Md,0.0
No,0.0
Lr,0.0
Rf,0.0
Db,0.0
Sg,0.0
Bh,0.0
Hs,0.0
Mt,0.0
Ds,0.0
Rg,0.0
Cn,0.0
Nh,0.0
Fl,0.0
Mc,0.0
Lv,0.0
Ts,0.0
Og,0.0
